timestamp,solexs_flux,hel1os_flux,quality_flag
2026-01-01 00:00:00+00:00,100.609,50.327,1
2026-01-01 00:05:00+00:00,98.029,49.381,1
2026-01-01 00:10:00+00:00,101.719,50.946,1
2026-01-01 00:15:00+00:00,102.208,50.296,1
2026-01-01 00:20:00+00:00,96.534,50.219,1
2026-01-01 00:25:00+00:00,97.94,52.04,1
2026-01-01 00:30:00+00:00,100.908,47.385,1
2026-01-01 00:35:00+00:00,100.128,48.679,1
2026-01-01 00:40:00+00:00,100.835,49.01,1
2026-01-01 00:45:00+00:00,99.269,50.052,1
2026-01-01 00:50:00+00:00,102.841,50.236,1
2026-01-01 00:55:00+00:00,102.744,48.785,1
2026-01-01 01:00:00+00:00,101.426,49.465,1
2026-01-01 01:05:00+00:00,103.654,49.667,1
2026-01-01 01:10:00+00:00,102.439,53.701,1
2026-01-01 01:15:00+00:00,99.889,52.966,1
2026-01-01 01:20:00+00:00,102.448,50.361,1
2026-01-01 01:25:00+00:00,99.894,50.47,1
2026-01-01 01:30:00+00:00,103.67,49.578,1
2026-01-01 01:35:00+00:00,101.914,48.717,1
2026-01-01 01:40:00+00:00,101.743,50.916,1
2026-01-01 01:45:00+00:00,100.85,49.908,1
2026-01-01 01:50:00+00:00,104.754,51.053,1
2026-01-01 01:55:00+00:00,102.096,49.282,1
2026-01-01 02:00:00+00:00,101.643,50.336,1
2026-01-01 02:05:00+00:00,101.89,51.475,1
2026-01-01 02:10:00+00:00,103.751,51.783,1
2026-01-01 02:15:00+00:00,103.509,51.89,1
2026-01-01 02:20:00+00:00,103.693,49.849,1
2026-01-01 02:25:00+00:00,103.818,52.504,1
2026-01-01 02:30:00+00:00,107.327,50.562,1
2026-01-01 02:35:00+00:00,102.317,52.324,1
2026-01-01 02:40:00+00:00,102.189,51.594,1
2026-01-01 02:45:00+00:00,101.669,49.997,1
2026-01-01 02:50:00+00:00,104.61,51.31,1
2026-01-01 02:55:00+00:00,105.716,52.167,1
2026-01-01 03:00:00+00:00,103.308,52.503,1
